Estimate,Std. Error,t-value,Pr(>|t|)
-0.00851460625694417,0.00694946204876246,-1.22521803805813,0.227319895563785
-0.0163752743955728,0.00694946204876246,-2.35633697697347,0.0231969057905479
-0.0089571011823594,0.00694946204876246,-1.28889130115538,0.204490076310837
-0.00393601378578471,0.00580877162425906,-0.67759830139419,0.50174225678341
-0.00884213737999623,0.00580877162425906,-1.52220434059914,0.135452132778131
-0.00550503930642119,0.00580877162425906,-0.947711437549137,0.348697613962361
-0.009813771160749,0.0245517571538101,-0.399717669870567,0.691390076633086
-0.00952383126663265,0.0245517571538101,-0.387908336131236,0.700043003935632
0.00631961056224674,0.0245517571538101,0.257399522268655,0.798127315271861
-0.015514253394886,0.0165177882245865,-0.939245205468444,0.352975380749882
-0.00712504745635389,0.0165177882245865,-0.431356024152698,0.668415633606446
-0.00580472508169615,0.0165177882245865,-0.35142266039323,0.727028206768939
0.01138201146452,0.0227990716180684,0.499231357100508,0.620221499679319
0.00339254611587902,0.0227990716180684,0.1488019412681,0.882422099594636
0.00908470795421324,0.0227990716180684,0.398468328289892,0.692303545408527
-0.00429406861164351,0.0132462244247811,-0.324173022737722,0.747416001147535
0.00145061280759918,0.0132462244247811,0.109511417071069,0.913318445959605
-0.00579407829504704,0.0132462244247811,-0.437413568519001,0.664052523975299
