Estimate,Std. Error,t-value,Pr(>|t|),r_squared
-0.00851460625694417,0.00694946204876246,-1.22521803805813,0.227319895563785,0.117068781401272
-0.0163752743955728,0.00694946204876246,-2.35633697697347,0.0231969057905479,0.117068781401272
-0.0089571011823594,0.00694946204876246,-1.28889130115538,0.204490076310837,0.117068781401272
-0.0124283465913202,0.00896193020124551,-1.38679350455028,0.172821625320479,0.186103481937699
-0.0261715294207471,0.00896193020124551,-2.92030051931333,0.0056030991652425,0.186103481937699
-0.0204297078121154,0.00896193020124551,-2.27961023500005,0.0277745701408501,0.186103481937699
-0.009813771160749,0.0245517571538101,-0.399717669870567,0.691390076633086,0.0143721704323791
-0.00952383126663265,0.0245517571538101,-0.387908336131236,0.700043003935632,0.0143721704323791
0.00631961056224674,0.0245517571538101,0.257399522268655,0.798127315271861,0.0143721704323791
-0.0149070594494828,0.0273812261935497,-0.544426292091861,0.58902718303981,0.0227910670828412
-0.0189499006369931,0.0273812261935497,-0.692076406770167,0.492697944932984,0.0227910670828412
0.00368001645290293,0.0273812261935497,0.134399256880973,0.893728863968934,0.0227910670828412
0.01138201146452,0.0227990716180684,0.499231357100508,0.620221499679319,0.00739066474030348
0.00339254611587902,0.0227990716180684,0.1488019412681,0.882422099594636,0.00739066474030348
0.00908470795421324,0.0227990716180684,0.398468328289892,0.692303545408527,0.00739066474030348
0.0134918664865025,0.025077172776228,0.538013858535606,0.593407268457359,0.0168550282556824
0.00334461921593803,0.025077172776228,0.133373057871523,0.89453536047459,0.0168550282556824
0.0186596836881425,0.025077172776228,0.744090406627938,0.460964706733004,0.0168550282556824
-0.0156813732060372,0.00611490134577103,-2.56445236305933,0.0139990514155264,0.14640621955951
-0.00383863800658109,0.00611490134577103,-0.62775142059092,0.533565284903708,0.14640621955951
-0.00532304860823928,0.00611490134577103,-0.870504413275713,0.38897320694741,0.14640621955951
-0.0304962717544291,0.00846007974536519,-3.60472627591203,0.000822222917204031,0.241791743281736
-0.0198660163527935,0.00846007974536519,-2.34820674872208,0.0236476073001301,0.241791743281736
-0.0171286384969064,0.00846007974536519,-2.02464267624549,0.0492929163281049,0.241791743281736
