mean_estimates,combined_se,t_stats,p_values
-10.7866879220421,0.484576399075686,-22.2600356571583,2.41116670021572e-05
0.199248175443456,0.0287676347301608,6.92612296118173,0.00228098855250083
0.134182325717079,0.0242933929474336,5.52340819610602,0.00524705896255218
-0.242241474167112,0.0705470326115952,-3.43375851824698,0.0264444134659102
0.035943662516479,0.00302087100127966,11.8984433632727,0.000285766689691181
1.17247481895091,0.0757280614520124,15.4826994969874,0.000101573849844397
-0.762244793274684,0.292929650324649,-2.60214284361416,0.0599128906780563
-0.228294828218328,0.0999773592152641,-2.28346527664109,0.0844631689972999
0.184877906539082,0.177129722043261,1.04374299471846,0.355529246153208
0.467093924449485,0.187080193823545,2.49675775346935,0.0669983411487088
0.782311817412914,0.164202897638849,4.76429970884891,0.00887712587259354
1.63843945708813,0.468751979623092,3.49532274702189,0.0250018849258345
1.81716209609279,0.156804854733865,11.5886851792755,0.000316779888517236
2.05017085690011,0.274088219072392,7.47996708446127,0.00170804172673218
