vars,2008,2011,2014,2017,2020
(Intercept),-150807.23,-119395.176,-93954.836,-78746.733,-80779.81
p-val,0,0,0,0,0
bage35-44,45122.254,46829.899,-4812.593,6473.124,-18431.671
p-val,0.001,0.001,0.685,0.599,0.102
bage45-54,101639.58,74083.944,43013.032,37713.62,24060.513
p-val,0,0,0,0.002,0.032
bage54-65,171752.625,173643.262,95179.521,84647.072,55319.044
p-val,0,0,0,0,0
bage65-75,146131.76,173529.522,115980.919,88722.788,72873.458
p-val,0,0,0,0,0
bage75,163977.973,139106.684,86678.786,73864.076,57710.981
p-val,0,0,0,0,0
sexWomen,-7305.978,-14186.69,-1585.672,-13819.343,-433.536
p-val,0.377,0.089,0.804,0.025,0.935
educ,19818.86,3436.523,55.949,67.191,68.195
p-val,0,0,0,0,0
riquezafinNonFin,-95638.707,-88313.92,-81383.443,-84777.116,-68173.382
p-val,0,0,0,0,0
inheritInheritance,-15720.956,-23243.253,-56775.399,-30183.15,-10677.134
p-val,0.35,0.134,0,0.002,0.22
direc,29663.445,66253.75,55460.255,63322.151,67361.737
p-val,0.106,0,0,0,0
homeownerHomeowner,167050.402,143343.084,133762.454,122350.175,136721.711
p-val,0,0,0,0,0
multipr,219466.466,206712.061,209714.516,172203.618,148230.116
p-val,0,0,0,0,0
