years,variable,value
2002,prop_ren_w,0.00907816480585014
2005,prop_ren_w,0.0123271227421882
2008,prop_ren_w,0.020317815451041
2011,prop_ren_w,0.0220080143549879
2014,prop_ren_w,0.0273020068552643
2017,prop_ren_w,0.0316977930014011
2020,prop_ren_w,0.0524428928889285
2002,prop_ren_k,0.0141650009813674
2005,prop_ren_k,0.0160736360253463
2008,prop_ren_k,0.0387222488178564
2011,prop_ren_k,0.0714381127262754
2014,prop_ren_k,0.054999005006548
2017,prop_ren_k,0.110763493058588
2020,prop_ren_k,0.101013793984481
