Feature,Gain,Cover,Frequency
otherp,0.367169445240121,0.040777343196855,0.0632846963013234
sa0100_FR,0.12530257706505,0.0252163445037806,0.0145911096029861
fin_shares,0.0841391111281366,0.0310998096290092,0.0614183915846624
haspvpens,0.0548394755468471,0.0184999309934133,0.0458092975907703
wave_3,0.0423876032145066,0.0111791033421564,0.0264675941635562
class_Worker,0.0398980686640144,0.00909881788328178,0.0266372582287072
homeown,0.0290975767551388,0.0250733116010049,0.0413980318968442
hsize,0.0267023640243463,0.105765919967685,0.135731252120801
class_Inactive,0.0188765028377917,0.00699755811425353,0.0195113674923651
fin_managed,0.0188226133258449,0.0320067488948242,0.0335934848998982
fin_mutual,0.0161780831124126,0.0263213470117526,0.0427553444180523
age_+70,0.014797181684835,0.0172816077482524,0.0252799457074992
sa0100_DE,0.013922829336273,0.014673472850478,0.00746521886664405
fin_bonds,0.0113123780554608,0.024956651291769,0.0354597896165592
edu_ref_tertiary,0.00955226019495636,0.0159596747989043,0.0259586019681032
sa0100_HU,0.00886469360395773,0.0259357543535535,0.0127248048863251
wave_2,0.0088244637095495,0.0123254978750944,0.0305395317271802
sa0100_ES,0.00831893974073136,0.0111599768593931,0.00865286732270105
age_30-49,0.00791321771615544,0.0215806671925294,0.0244316253817441
fin_otherfin,0.00731276160592092,0.0277538730354066,0.0240922972514421
wave_1,0.00719016015160985,0.0153312233449278,0.0171360705802511
sa0100_IT,0.00658520991576576,0.0207971382508793,0.00882253138785205
head_gendr,0.0059790417925271,0.027539647785673,0.0507295554801493
sa0100_EE,0.00587425873996485,0.0160437327953161,0.00610790634543604
age_50-69,0.00575122358058704,0.00239229517584004,0.0215473362741771
sa0100_SI,0.00561005568109554,0.0253965707666665,0.00475059382422803
sa0100_PL,0.00469964688057361,0.030765966509081,0.00593824228028504
sa0100_BE,0.00448524062057854,0.0148982613117947,0.0103495079742111
age_0-29,0.00400308049923966,0.0252829302464399,0.0188327112317611
sa0100_SK,0.00363197008965776,0.0229267653681795,0.00492025788937903
edu_ref_secondary,0.00349261715938258,0.0180879847558009,0.0274855785544622
wave_4,0.00340675995151265,0.0159732940991928,0.0235833050559891
sa0100_IE,0.00294831733554931,0.0101915268941536,0.00525958601968103
edu_ref_primary,0.00294319770158917,0.0243913232808608,0.0191720393620631
sa0100_GR,0.00271455632484922,0.0251406682800683,0.00610790634543604
sa0100_MT,0.00234740332196702,0.0148147305252558,0.00644723447573804
sa0100_PT,0.00200953869848985,0.016122413251025,0.00593824228028504
sa0100_CZ,0.00174799371348438,0.0318579616259283,0.00356294536817102
sa0100_FI,0.00167403369934536,0.0194184861620001,0.00644723447573804
sa0100_LV,0.00162579301858984,0.0139742940313659,0.00458092975907703
sa0100_CY,0.00135717976105396,0.0150948328092951,0.00441126569392603
sa0100_LU,0.00130210913571869,0.0142412592825086,0.00627757041058704
sa0100_AT,0.00127408281651836,0.0110032071144556,0.00576857821513404
sa0100_LT,0.00119075438535427,0.018744423275518,0.00322361723786902
sa0100_HR,0.000524939611812646,0.00916145387328726,0.00339328130302002
class_Self-Employed,0.000517225796518872,0.012971829522266,0.00492025788937903
class_Employer,0.000455713589703808,0.00848141190828023,0.00458092975907703
sa0100_NL,0.000425749464910567,0.0152909566105428,0.00390227349847302
