V1,mean_estimates,combined_se,t_stats,p_values
(Intercept),-9.19714252812002,0.295565393702593,-31.1171156166356,0
factor(wave)2,-0.206450408019903,0.215560939737353,-0.957735702356137,0.338196048817411
factor(wave)3,-0.177907250795338,0.209922661146017,-0.84748949839003,0.396722338072846
factor(wave)4,-0.484671881921681,0.213862123660069,-2.26628200275454,0.0234341226204167
hsize,-0.170700458309829,0.0233288208338549,-7.31714901175409,2.53352894219461e-13
head_gendrfemale,0.232548967145864,0.056217462723382,4.1365966352861,3.5249494539924e-05
age0-29,-0.30667068321773,0.116293821000124,-2.63703334003792,0.00836346111480646
age50-69,0.0955653613177095,0.0670678958841021,1.42490471868766,0.154184745462411
age+70,-0.215553618430108,0.0991645092972224,-2.17369722250161,0.0297278813980362
edu_refprimary,-0.0748043537727074,0.091661569047893,-0.81609287894278,0.414447016445885
edu_reftertiary,-0.173078953348347,0.0571168684616797,-3.03025985159651,0.00244343415421078
homeownhomeowner,-0.112785285866111,0.0588892413712163,-1.91521037187681,0.0554656802942679
otherpmultiowner,0.58562774093027,0.0577888213279938,10.1339277644443,0
bondshas-bonds,-0.0165275327230319,0.121366095158409,-0.136179158614767,0.891679650686305
mutualhas-mutual,0.192985150180116,0.0832040171216462,2.31942106710986,0.020372216446024
shareshas-shares,0.301404136353652,0.0857002329028846,3.51695819421171,0.000436522528539429
managedhas-managed,0.401648688763109,0.142894888514462,2.81079815337454,0.00494187777816646
otherfinhas-otherfin,-0.13086769196951,0.127795029815491,-1.02404367492582,0.305814646432463
hasKgainshas-Kgains,9.44021976397763,0.226889746179823,41.6070797509541,0
haspvpenshas-pvpens,0.0259155151322097,0.0675462471419366,0.383670688287875,0.7012225403307
class_nomanager2,2.19670407000299,1.29168417269872,1.70065106969098,0.0890085282665105
class_nomanager3,0.330634914461011,0.63306134760672,0.522279421593139,0.601475794935227
class_nomanager4,0.456802940732953,0.0755262770229947,6.04826503752959,1.46413947632595e-09
random_part,0.225383248830333,0.199146815836483,0.474617309049177,0.445914973415114
eval,10438.9088989862,10699.3782051881,-5194.45444949309,10388.9088989862
