wave,country,p80
1,ES,61359.4
1,PT,44380
1,DE,77192
1,SI,22225.98
1,IT,59661.10712
1,CY,108189.48
1,AT,77216.4
1,SK,18279.34
1,FI,45423.0000000001
1,GR,28845.2
1,NL,80993.62858
1,LU,135632.4
1,MT,91706.5992
1,FR,68492.2
1,BE,138249.6
2,ES,64026.8
2,IE,56607
2,PT,44330.35061
2,DE,85692
2,SI,21855.8
2,IT,55500
2,CY,79598.8
2,AT,73276.6
2,HU,13248.60055
2,SK,13591.8
2,FI,53883
2,GR,19800
2,NL,96315.0557286
2,LU,182370.8
2,LV,5379.4
2,MT,101657.4
2,EE,21674.9999944
2,FR,87744
2,BE,139012
3,ES,66362.6
3,LT,9944.278
3,IE,74787.6
3,PT,44737
3,DE,93120
3,SI,24991.2
3,IT,53777.03
3,CY,71463.8
3,AT,72928.8
3,HU,18435.1466
3,SK,24383.4
3,FI,66519
3,GR,20132.6
3,NL,102626.9046
3,LU,168308
3,LV,5255.8
3,MT,108751
3,EE,23898.0003
3,FR,89505
3,BE,142140.40198
4,ES,80100
4,LT,12100.0004
4,IE,89505.4
4,PT,59413.07
4,DE,129960
4,SI,37464.2
4,IT,95104.8100000001
4,CY,54678.2
4,AT,83174.4
4,HU,34789.023
4,SK,32267.8
4,FI,71448
4,GR,30008.4
4,NL,89700.634
4,LU,340882
4,LV,15675.304
4,MT,85000
4,EE,35978.2
4,FR,104335
4,BE,158553
4,CZ,30999.95
